# iterations	 errorinentropy	 maxerror
1.146e+04	578	2055
2.552e+04	520.1	1877
4.331e+04	471.8	1733
6.534e+04	415.6	1589
9.174e+04	406.3	1562
1.234e+05	402	1562
1.588e+05	295.2	1306
1.95e+05	257.4	1197
2.375e+05	256.6	1197
2.876e+05	248.7	1188
3.388e+05	251.3	1188
3.925e+05	250.4	1188
4.566e+05	249.8	1188
5.217e+05	193.5	1052
5.879e+05	132.4	878.3
6.511e+05	136	878.3
7.216e+05	135.6	878.3
8.077e+05	134.2	878.3
8.943e+05	135.6	878.3
9.806e+05	134.7	878.3
1.074e+06	135.5	878.3
1.16e+06	125.7	846.9
1.26e+06	125.6	846.9
1.37e+06	125.2	846.9
1.488e+06	111.3	806.3
1.592e+06	95.77	714
1.692e+06	93.65	702.1
1.798e+06	90.58	702.1
1.91e+06	90.02	702.1
2.034e+06	89.42	702.1
2.177e+06	82.67	624.7
2.308e+06	77.17	543.8
2.426e+06	76.9	543.8
2.548e+06	73.98	543.8
2.686e+06	71.15	543.8
2.835e+06	71.86	543.8
3.001e+06	71.27	543.8
3.165e+06	72.17	543.8
3.345e+06	71.21	543.8
3.508e+06	70.98	542.9
3.654e+06	68.32	542.9
3.816e+06	68.42	542.9
4.015e+06	67.56	542.9
4.2e+06	68.03	542.9
4.405e+06	67.36	542.9
4.603e+06	67.7	542.9
4.79e+06	66.57	542.9
4.996e+06	66.84	542.9
5.203e+06	67.36	542.9
5.434e+06	66.56	542.9
5.633e+06	66.67	542.9
5.875e+06	66.87	542.4
6.071e+06	64.78	508.9
6.26e+06	63.61	508.9
6.481e+06	62.98	508.9
6.724e+06	62.57	509
6.967e+06	62.65	508.9
7.221e+06	63.09	508.9
7.458e+06	62.51	507.1
7.676e+06	61.67	504.1
7.897e+06	57.5	371.5
8.106e+06	57.35	347.8
8.319e+06	57.32	347.8
8.536e+06	58.26	269.4
8.754e+06	58.35	262.3
8.974e+06	58.27	262.3
9.199e+06	58.18	260.6
9.426e+06	57.98	259.4
9.658e+06	57.84	259.4
9.893e+06	58.19	239.8
1.013e+07	55.87	239.8
1.042e+07	56.36	239.8
1.075e+07	55.29	239.8
1.105e+07	55.69	239.8
1.139e+07	55.92	239.8
1.172e+07	54.98	239.8
1.201e+07	55.39	239.8
1.236e+07	55.21	239.8
1.269e+07	54.72	239.8
1.302e+07	55.25	239.8
1.339e+07	55.24	239.8
1.37e+07	53.81	239.8
1.404e+07	54.2	239.8
1.441e+07	54.13	239.8
1.477e+07	53.73	239.8
1.511e+07	53.31	239.8
1.543e+07	53.19	239.8
1.574e+07	52.92	239.8
1.614e+07	52.81	239.8
1.653e+07	53.2	239.8
1.695e+07	53.04	239.8
1.731e+07	52.24	239.8
1.765e+07	51.96	239.8
1.807e+07	51.28	239.8
1.844e+07	51.31	239.8
1.888e+07	51.29	239.8
1.927e+07	51.19	239.8
1.97e+07	50.57	239.8
2.006e+07	50.44	239.8
2.05e+07	50.16	239.8
2.087e+07	49.78	239.8
2.122e+07	49.8	239.8
2.155e+07	49.81	239.8
2.186e+07	49.17	239.8
2.218e+07	48.99	239.8
2.256e+07	49.2	239.8
2.302e+07	48.77	239.8
2.344e+07	49.18	239.8
2.389e+07	48.23	239.8
2.428e+07	48.07	239.8
2.477e+07	48.52	239.8
2.526e+07	48.78	239.8
2.574e+07	48.67	239.8
2.616e+07	48.26	239.8
2.66e+07	48.1	239.8
2.712e+07	48.21	239.8
2.761e+07	47.69	239.8
2.809e+07	47.77	239.8
2.863e+07	48.07	239.8
2.915e+07	48.1	239.8
2.959e+07	47.52	239.8
3.005e+07	47.1	239.8
3.057e+07	47.24	239.8
3.114e+07	47.14	239.8
3.165e+07	47.25	239.8
3.219e+07	47.15	239.8
3.266e+07	46.62	239.8
3.316e+07	46.81	239.8
3.375e+07	46.77	239.8
3.429e+07	46.29	239.8
3.477e+07	45.78	239.8
3.53e+07	45.85	239.8
3.591e+07	45.94	239.8
3.647e+07	45.94	239.8
3.695e+07	45.98	239.8
3.741e+07	46.06	236.8
3.787e+07	46.5	216.9
3.832e+07	46.31	216.9
3.878e+07	46.32	216.9
3.925e+07	46.28	216.8
3.972e+07	45.97	216.9
4.019e+07	45.2	216.9
4.071e+07	45.01	216.9
4.135e+07	44.75	216.8
4.192e+07	44.4	214.8
4.243e+07	44.53	210
4.292e+07	44.6	206.1
4.34e+07	44.57	205.7
4.389e+07	44.23	204.1
4.439e+07	44.05	204.1
4.507e+07	44.14	204.1
4.575e+07	43.6	204.1
4.631e+07	43.37	204.1
4.699e+07	43.26	204.1
4.761e+07	42.79	204.1
4.827e+07	42.98	204.1
4.899e+07	42.68	204.1
4.959e+07	42.5	204.1
5.023e+07	42.37	204.1
5.092e+07	42.49	204.1
5.163e+07	42.19	204.1
5.223e+07	41.9	204.1
5.289e+07	42	204.1
5.362e+07	41.91	204.1
5.429e+07	41.86	204.1
5.486e+07	41.65	200.4
5.543e+07	41.83	192.1
5.597e+07	41.77	192.1
5.653e+07	41.25	192.1
5.716e+07	41.32	192.1
5.795e+07	41.55	192.1
5.869e+07	41.16	192.1
5.934e+07	41.01	192.1
6.01e+07	41.14	192.1
6.085e+07	40.93	192.1
6.147e+07	40.44	192.1
6.218e+07	40.49	192.1
6.299e+07	40.34	192.1
6.371e+07	40.41	192.1
6.449e+07	40.43	192.1
6.522e+07	40.13	192.1
6.591e+07	40.13	192.1
6.674e+07	40.1	192.1
6.744e+07	39.99	192.1
6.807e+07	39.62	192.1
6.877e+07	39.05	192.1
6.947e+07	39.11	192.1
7.033e+07	39.12	192.1
7.118e+07	39.27	192.1
7.202e+07	39.13	192.1
7.271e+07	38.79	192.1
7.339e+07	38.46	192.1
