# iterations	 errorinentropy	 maxerror
3.407e+04	19.96	105.5
9.302e+04	20	105.5
1.8e+05	16	96
2.931e+05	13.82	92.05
4.282e+05	8.358	59.13
5.85e+05	8.259	32.14
7.601e+05	8.239	28.15
9.593e+05	8.349	28.15
1.18e+06	8.41	28.15
1.421e+06	8.358	28.15
1.684e+06	4.043	28.15
1.969e+06	3.663	28.15
2.279e+06	3.87	30.48
2.607e+06	3.856	29.86
2.963e+06	3.846	29.89
3.338e+06	3.842	29.71
3.737e+06	3.895	29.71
4.155e+06	3.946	29.76
4.551e+06	3.95	29.42
5.021e+06	3.938	29.15
5.512e+06	3.207	29.17
6.018e+06	3.22	29.42
6.543e+06	3.215	29.42
7.089e+06	3.277	29.44
7.666e+06	3.339	29.43
8.246e+06	3.35	29.41
8.843e+06	3.406	29.41
9.47e+06	3.442	29.41
1.013e+07	3.475	29.41
1.078e+07	2.031	29.28
1.145e+07	2.013	29.29
1.217e+07	2.002	29.28
1.287e+07	2.698	31.32
1.362e+07	2.659	31.06
1.439e+07	2.577	30.73
1.52e+07	2.507	30.43
1.603e+07	2.409	30.02
1.688e+07	2.341	29.8
1.776e+07	2.273	29.53
1.864e+07	2.204	29.22
1.949e+07	2.15	28.97
2.035e+07	2.126	28.8
2.128e+07	2.079	28.57
2.218e+07	2.13	28.77
2.315e+07	2.1	28.61
2.414e+07	2.056	28.38
2.516e+07	2.076	28.79
2.625e+07	1.983	28.15
2.735e+07	1.95	28.15
2.848e+07	1.917	28.15
2.963e+07	1.88	28.15
3.081e+07	1.85	28.15
3.202e+07	1.814	28.15
3.324e+07	1.797	28.15
3.442e+07	1.779	28.15
3.569e+07	1.762	28.15
3.697e+07	1.748	28.15
3.829e+07	1.73	28.15
3.962e+07	1.727	28.15
4.097e+07	1.717	28.15
4.234e+07	1.711	28.15
4.374e+07	1.712	28.15
4.516e+07	1.715	28.15
4.66e+07	1.719	28.15
4.807e+07	1.709	28.15
4.954e+07	1.706	28.15
5.106e+07	1.699	28.15
5.26e+07	1.709	28.15
5.416e+07	1.699	28.15
5.574e+07	1.705	28.15
5.734e+07	1.707	28.15
5.897e+07	1.702	28.15
6.063e+07	1.749	28.15
6.231e+07	1.743	28.15
6.4e+07	1.737	28.15
6.572e+07	1.747	28.15
6.745e+07	1.757	28.15
6.921e+07	1.75	28.15
7.097e+07	1.758	28.15
7.275e+07	1.755	28.15
7.448e+07	1.751	28.15
7.632e+07	1.745	28.15
7.819e+07	1.76	28.15
8.006e+07	1.771	28.15
8.196e+07	1.765	28.15
