# comparison reference file	(generated with python figs/parse-yaml-out.py /home/jordan/weniger-cp-data/wl-inv-t-256-s1 256 wl-inv-t-256 
#  moves	 gamma	
1	475
1	475
1	475
2	237.5
3	158.3333333333333
4	118.75
6	79.16666666666667
7	67.85714285714286
10	47.5
13	36.53846153846154
18	26.38888888888889
24	19.79166666666667
32	14.84375
42	11.30952380952381
56	8.482142857142858
75	6.333333333333333
100	4.75
133	3.571428571428572
178	2.668539325842697
237	2.004219409282701
316	1.503164556962025
422	1.125592417061611
562	1
750	1
1000	1
1334	1
1778	1
2371	1
3162	1
4217	1
5623	1
7499	1
10000	1
13335	1
17783	1
23714	1
31623	1
42170	1
56234	1
74989	1
100000	1
133352	1
177828	1
237137	1
316228	1
421697	1
562341	1
749894	1
1000000	1
1213843	1
1213843	0.5
1333521	0.5
1778279	0.5
2233008	0.5
2233008	0.25
2371374	0.25
2449980	0.25
2449980	0.125
3162278	0.125
4147591	0.125
4147591	0.0625
4216965	0.0625
4662001	0.0625
4662001	0.03125
5623413	0.03125
5942296	0.03125
5942296	0.015625
6950127	0.015625
6950127	0.0078125
7498942	0.0078125
10000000	0.0078125
10282075	0.0078125
10282075	0.00390625
11351896	0.00390625
11351896	0.001953125
13335214	0.001953125
15570523	0.001953125
15570523	0.0009765625
17782794	0.0009765625
21185067	0.0009765625
21185067	0.00048828125
23713737	0.00048828125
26964664	0.00048828125
26964664	0.000244140625
31622777	0.000244140625
40473837	0.000244140625
40473837	0.0001220703125
42169650	0.0001220703125
48626046	0.0001220703125
48626046	6.103515625e-05
56234133	6.103515625e-05
58936032	6.103515625e-05
58936032	3.0517578125e-05
74989421	3.0517578125e-05
76471600	3.0517578125e-05
76471600	1.52587890625e-05
100000000	1.52587890625e-05
133352143	1.52587890625e-05
141626090	1.52587890625e-05
141626090	7.62939453125e-06
177827941	7.62939453125e-06
233088126	7.62939453125e-06
233088126	3.814697265625e-06
237137371	3.814697265625e-06
261243774	3.814697265625e-06
261243774	1.9073486328125e-06
280781874	1.9073486328125e-06
280781874	1.691704643299019e-06
306705358	1.548717645813022e-06
306705358	1.548717645813022e-06
316227766	1.50208188865996e-06
328486329	1.446026692940393e-06
328486329	1.446026692940393e-06
358196883	1.326086357931819e-06
358196883	1.326086357931819e-06
375053712	1.266485265449126e-06
375053712	1.266485265449126e-06
