# round trips	 doserror
0	-46.78
0	26.43
0	26.4
0	26.38
0	26.35
0	26.37
0	26.36
0	26.38
0	26.38
0	26.4
0	26.39
0	26.41
0	26.48
0	26.47
0	26.41
0	26.43
0	26.45
0	26.39
0	26.39
0	26.23
0	26.25
0	26.13
0	26.17
0	26.11
0	26.16
0	26.09
0	26.03
0	25.92
0	25.96
0	26
0	26.04
0	26.08
0	26.08
0	26.02
0	26.04
0	26.06
0	26.09
0	26.13
0	26.1
0	25.64
0	25.65
0	25.64
0	25.64
0	25.67
0	25.62
0	25.66
0	25.69
0	25.68
0	25.69
0	25.7
0	25.7
0	25.73
0	25.73
0	25.72
0	25.73
0	25.75
0	25.78
0	25.79
0	25.81
0	25.79
0	25.8
0	25.81
0	25.81
0	25.82
0	25.82
0	25.83
0	25.84
0	25.86
0	25.86
0	25.85
0	25.82
0	25.84
0	25.86
0	25.87
0	25.86
0	25.87
0	25.88
0	25.88
0	25.88
0	25.9
0	25.94
0	25.95
0	25.97
0	25.97
0	25.98
0	25.99
0	26
0	26.01
0	26.02
0	26.01
0	26
0	26.01
0	26.02
0	26.04
0	26.04
0	26.03
0	26.03
0	26.03
0	25.97
0	25.93
0	25.87
0	25.86
0	25.84
0	25.83
0	25.83
0	25.82
0	25.8
0	25.79
0	25.78
0	25.77
0	25.75
0	25.74
0	25.73
0	25.73
0	25.71
0	25.71
0	25.71
0	25.7
0	25.68
0	25.67
0	25.67
0	25.62
0	25.62
0	25.61
0	25.55
0	25.5
0	25.48
0	25.43
0	25.41
0	25.38
0	25.35
0	25.31
0	25.28
0	25.25
0	25.23
0	25.2
0	25.18
0	25.16
0	25.11
0	25.09
0	25.08
0	25.07
0	25.05
0	25.03
0	25.02
0	25
0	24.96
0	24.93
0	24.92
0	24.9
0	24.88
0	24.86
0	24.85
0	24.84
0	24.82
0	24.78
0	24.76
0	24.74
0	24.73
0	24.7
0	24.68
0	24.67
0	24.65
0	24.64
0	24.6
0	24.59
0	24.56
0	24.51
0	24.38
0	24.28
0	24.2
0	24.12
0	24.05
0	23.97
0	23.9
0	23.83
0	23.71
0	23.58
0	23.44
0	23.33
0	23.22
0	23.11
0	23.01
0	22.91
0	22.8
0	22.72
0	22.62
0	22.52
0	22.42
0	22.32
0	22.23
0	22.14
0	22.06
0	21.97
0	21.88
0	21.8
0	21.72
0	21.61
0	21.47
0	21.34
0	21.22
0	21.05
0	20.8
0	20.33
0	20.07
0	19.84
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.74
0	19.73
0	19.73
0	19.73
0	19.73
0	19.73
0	19.73
0	19.73
0	19.73
0	19.72
0	19.72
0	19.72
0	19.72
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.71
0	19.7
0	19.7
0	19.7
0	19.7
0	19.7
0	19.7
0	19.7
0	19.7
0	19.7
0	19.7
0	19.69
0	19.69
0	19.69
0	19.69
0	19.69
0	19.69
0	19.69
0	19.68
0	19.68
0	19.68
0	19.68
0	19.68
0	19.68
0	19.67
0	19.67
0	19.67
0	19.67
0	19.66
0	19.66
0	19.66
0	19.66
0	19.65
0	19.65
0	19.65
0	19.65
0	19.64
0	19.64
0	19.64
0	19.63
0	19.63
0	19.62
0	19.62
0	19.62
0	19.61
0	19.61
0	19.61
0	19.6
0	19.6
0	19.6
0	19.59
0	19.59
0	19.58
0	19.58
0	19.58
0	19.57
0	19.57
0	19.57
0	19.57
0	19.56
0	19.56
0	19.56
0	19.55
0	19.55
0	19.55
0	19.54
0	19.54
