# round trips	 doserror
2	-146.4
89	-5.459
107	-7.904
114	1.351
127	0.1617
143	6.217
159	1.084
175	-2.077
195	4.749
215	-0.5322
236	2.469
249	0.01861
257	2.137
266	0.5188
275	5.523
288	-0.9989
300	0.6569
314	-0.8721
339	0.3296
360	-1.318
389	2.283
417	-0.9445
441	2.874
455	0.4399
466	0.04711
479	10.22
509	-0.3144
542	2.81
569	2.307
593	0.1672
605	11.09
620	5.871
647	9.817
678	8.197
712	-2.963
732	1.121
750	-1.027
784	7.119
818	6.704
854	4.001
873	4.276
896	1.375
911	0.6556
941	0.6402
964	-0.2744
976	3.106
994	1.825
1022	2.198
1042	1.824
1069	1.719
1111	41.6
1145	41.01
1168	40.84
1207	41.06
1251	-0.7517
1257	41.07
1296	38.65
1326	-0.7981
1345	37.04
1383	1.528
1424	37.58
1445	37.37
1488	37.8
1523	37.69
1552	37.09
1598	36.26
1627	36.92
1662	35.07
1709	36.01
1729	35.92
1783	34.87
1810	34.87
1832	34.11
1886	34.95
1919	34.98
1972	33.8
2000	33.06
2036	32.62
2089	32.62
2121	32.26
2170	33.34
2194	31.59
2245	30.97
2276	31.99
2328	28.95
2368	30.48
2423	-0.141
2454	30.34
2503	29.43
2525	27.73
2576	26.86
2608	27.22
2668	28.01
2705	27.8
2757	27.14
2797	26.02
2857	26.36
2897	25.72
2948	25.91
2984	25.26
3028	25.14
3072	24.41
3119	23.38
3172	23.88
3202	22.81
3240	22.35
3275	21.82
3337	22.17
3386	22.12
3423	20.99
3460	20.01
3511	20.73
3580	19.58
3628	19.5
3665	18.38
3714	18.88
3751	18.12
3804	18.29
3856	18.02
3910	17.39
3956	18.06
4007	16.75
4057	16.93
4100	15.78
4140	16.22
4210	14.88
4267	15.5
4312	14.71
4370	15.27
4426	14.11
4476	13.84
4531	13.76
4600	14.01
4693	14.22
4749	14.02
4790	12.83
4840	12.27
4894	12.36
4960	12.37
5004	12.46
5077	11.8
5138	11.31
5219	10.43
5284	10.5
5344	10.74
5401	9.268
5476	9.084
5539	9.209
5600	8.854
5661	8.747
5722	8.143
5805	8.496
5859	8.345
5946	7.075
6009	6.688
6074	6.761
6157	6.098
6227	6.391
6284	5.377
6347	5.333
6449	4.979
6515	4.102
6580	4.187
6638	3.578
6714	3.559
6779	2.897
6845	3.202
6909	2.619
7009	2.567
7072	1.718
7141	1.302
7232	1.743
7301	0.614
7395	0.5383
7465	-0.3937
7532	8.643
7643	8.463
7732	8.648
7810	7.623
7888	8.494
7958	7.799
8038	7.158
8118	7.856
8188	7.73
8269	6.56
8357	7.173
8440	6.604
8515	6.359
8593	6.493
8677	5.945
8758	6.1
8855	5.832
8946	5.789
9033	5.444
9110	5.523
